,views,products,products_quan,carts,carts_quan,wish,wish_quan
1634408153328526664,43,"[2000000065960.0, 2000000065878.0, 2000000104300.0, 2000000065878.0, 2000000054155.0, 2000000044118.0, 2000000104447.0, 2000000071299.0, 2000000104164.0, 2000000102559.0, 2000000088266.0, 2000000071299.0, 2000000065878.0, 2000000104164.0, 2000000102559.0, 2000000102559.0, 2000000064468.0, 2000000104164.0, 2000000104164.0, 2000000104164.0, 2000000044118.0, 2000000104164.0]",22.0,,,,
1634408761990791876,1,,,,,,
1634409567907077256,1,,,,,,
1634410530698864865,1,,,,,,
1634410918415769109,1,,,,,,
16344113481064801002,1,,,,,,
1634407398176915208,1,,,,,,
1634277528583294954,4,"[2000000098364.0, 2000000098364.0, 2000000098364.0, 2000000098364.0]",4.0,,,,
1634408119384233807,1,,,,,,
1631469205730933651,92,"[2000000103761.0, 2000000107523.0, 2000000107394.0, 2000000107523.0, 2000000039763.0, 2000000099781.0, 2000000107967.0, 2000000073118.0, 2000000057125.0]",9.0,,,,
162990683919357837,4,,,,,,
160329269118420745,1,,,,,,
1634410462781336508,1,,,,,,
163441074413029135,1,,,,,,
1634343756636085214,2,"[2000000043562.0, 2000000043562.0]",2.0,,,,
1634411150534130874,1,,,,,,
1634413333352641651,1,,,,,,
1634413747693915938,1,,,,,,
1634414058410483007,2,,,,,,
1634414292363846591,1,,,,,,
1634415730127162166,1,,,,,,
1634412770614045634,1,[2000000052649.0],1.0,,,,
1634412974969318735,1,[2000000001838.0],1.0,,,,
1634413022667273379,1,,,,,,
1634413378531436873,1,,,,,,
163441492959965783,1,,,,,,
1634415150717541464,1,,,,,,
1634416485791369879,18,"[2000000107585.0, 2000000099835.0, 2000000099828.0]",3.0,,,,
1634416849889423638,1,,,,,,
1634417767793652569,5,"[2000000099835.0, 2000000099828.0]",2.0,,,,
16344183191067463777,1,,,,,,
1634418569315554781,11,"[2000000081342.0, 2000000097312.0, 2000000084909.0, 2000000087412.0]",4.0,,,,
1630503134858055037,70,"[2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000090894.0, 2000000055527.0, 2000000045702.0, 2000000101248.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000093307.0, 2000000088815.0, 2000000093253.0, 2000000068244.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000055527.0, 2000000088815.0, 2000000062402.0, 2000000088815.0, 2000000055527.0, 2000000101958.0, 2000000055527.0]",45.0,,,,
1634418703227314446,46,"[2000000106496.0, 2000000101712.0, 2000000088655.0, 2000000074405.0, 2000000104430.0, 2000000102740.0, 2000000107615.0, 2000000107387.0, 2000000107745.0, 2000000060156.0, 2000000106984.0, 2000000106595.0, 2000000062655.0, 2000000088761.0, 2000000107844.0, 2000000101248.0, 2000000088266.0, 2000000045702.0, 2000000084060.0]",19.0,,,,
1634418719146318126,3,[2000000101736.0],1.0,,,,
1634419322760384624,4,,,,,,
1634419458320374408,2,,,,,,
1634419482525574154,1,,,,,,
1633876965743205756,69,"[2000000100401.0, 2000000085227.0, 2000000107899.0, 2000000108292.0, 2000000107899.0, 2000000112176.0, 2000000112176.0, 2000000107899.0, 2000000108292.0, 2000000108292.0, 2000000108292.0, 2000000107899.0, 2000000112176.0, 2000000107899.0, 2000000107899.0, 2000000112176.0, 2000000108292.0, 2000000107899.0, 2000000107899.0]",19.0,,,,
1634286459755119152,40,[2000000103235.0],1.0,,,,
1634419855699031220,3,[2000000097480.0],1.0,,,,
1617038641407618300,36,"[2000000108247.0, 2000000108414.0, 2000000083315.0]",3.0,,,,
16344207701019634077,1,,,,,,
1606569510639293320,1,,,,,,
16344221561003213519,9,"[2000000100616.0, 2000000107844.0]",2.0,,,,
1634423416746561643,3,,,,,,
1634423435376428348,6,[2000000060934.0],1.0,,,,
15959220531001896167,172,"[2000000031842.0, 2000000079615.0, 2000000107356.0, 2000000041889.0, 2000000086385.0, 2000000068053.0, 2000000106694.0, 2000000007694.0, 2000000090429.0, 2000000090429.0, 2000000072081.0, 2000000059433.0, 2000000107356.0, 2000000107356.0, 2000000081441.0, 2000000059433.0, 2000000094854.0, 2000000059372.0, 2000000072081.0, 2000000099538.0, 2000000085340.0, 2000000072081.0, 2000000106694.0, 2000000107356.0, 2000000104195.0, 2000000104218.0, 2000000104188.0, 2000000085340.0, 2000000072081.0, 2000000007694.0, 2000000106663.0, 2000000059396.0, 2000000085340.0, 2000000053639.0, 2000000107356.0, 2000000068053.0, 2000000106892.0, 2000000106663.0, 2000000103556.0, 2000000112442.0, 2000000115924.0, 2000000115917.0, 2000000103556.0, 2000000115672.0, 2000000115689.0, 2000000115672.0, 2000000081441.0, 2000000115672.0, 2000000114170.0, 2000000112442.0, 2000000111988.0]",51.0,,,,
163442476410983052,7,"[2000000095165.0, 2000000095165.0, 2000000095165.0, 2000000064062.0]",4.0,,,,
1634425252654575253,3,[2000000100340.0],1.0,,,,
1634426074894521359,6,[2000000090405.0],1.0,,,,
16108425281026014512,4,,,,,,
1634427136903150213,8,"[2000000107844.0, 2000000101248.0, 2000000086286.0, 2000000107844.0, 2000000098364.0]",5.0,,,,
1634427381670227773,83,"[2000000100135.0, 2000000078298.0, 2000000041780.0, 2000000089102.0, 2000000099538.0, 2000000089003.0, 2000000059426.0, 2000000091518.0, 2000000060835.0, 2000000037288.0, 2000000082493.0, 2000000106816.0, 2000000107325.0, 2000000106694.0, 2000000031842.0, 2000000091426.0, 2000000031392.0, 2000000013121.0, 2000000012667.0]",19.0,,,,
1634243717807978291,158,"[2000000071244.0, 2000000046235.0, 2000000010199.0, 2000000104102.0, 2000000102245.0, 2000000102245.0, 2000000093499.0, 2000000083872.0, 2000000071244.0, 2000000068213.0, 2000000104195.0, 2000000107011.0, 2000000100142.0, 2000000004426.0, 2000000073651.0, 2000000098838.0, 2000000069395.0, 2000000069746.0, 2000000000299.0, 2000000003528.0, 2000000010250.0, 2000000088877.0, 2000000073521.0, 2000000055091.0, 2000000102214.0, 2000000071244.0, 2000000066417.0, 2000000097763.0, 2000000101408.0, 2000000090061.0, 2000000087979.0, 2000000068213.0, 2000000095165.0, 2000000097428.0, 2000000100142.0, 2000000003504.0, 2000000098760.0, 2000000101262.0, 2000000105741.0, 2000000066417.0, 2000000071169.0, 2000000097770.0, 2000000065991.0, 2000000061757.0, 2000000105734.0, 2000000069739.0, 2000000062341.0, 2000000106267.0, 2000000105307.0, 2000000062112.0, 2000000071244.0, 2000000094403.0, 2000000105208.0, 2000000082837.0, 2000000078144.0, 2000000006109.0, 2000000102702.0, 2000000032801.0, 2000000062341.0]",59.0,,,,
1634417869787752786,1,[2000000077222.0],1.0,,,,
1634418106481939899,3,[2000000090542.0],1.0,,,,
1632735526406127960,19,"[2000000062204.0, 2000000106687.0, 2000000101552.0, 2000000094410.0, 2000000102306.0, 2000000109220.0, 2000000094410.0]",7.0,,,,
1634418176351068671,2,,,,,,
1634418817753724594,2,,,,,,
1634418982815905554,3,[2000000084060.0],1.0,,,,
1634420312127745466,1,[2000000072241.0],1.0,,,,
1634423481247018368,11,[2000000072906.0],1.0,,,,
1634424135112998621,2,"[2000000024530.0, 2000000024530.0]",2.0,,,,
1634418101845371453,3,,,,,,
1634427103822098269,1,,,,,,
16344278611070123712,5,,,,,,
1622473531851997739,224,"[2000000107721.0, 2000000107288.0, 2000000102504.0, 2000000107752.0, 2000000058399.0, 2000000062402.0, 2000000106496.0, 2000000102788.0, 2000000078144.0, 2000000107837.0, 2000000098319.0, 2000000052274.0, 2000000096780.0, 2000000108117.0, 2000000108117.0, 2000000108117.0, 2000000109268.0, 2000000109916.0, 2000000109916.0, 2000000109916.0, 2000000109916.0, 2000000105994.0, 2000000102504.0, 2000000102542.0, 2000000106533.0, 2000000106557.0, 2000000113241.0, 2000000108476.0, 2000000111865.0, 2000000093208.0, 2000000098937.0, 2000000098920.0, 2000000097084.0, 2000000032603.0, 2000000078168.0, 2000000091204.0, 2000000098920.0, 2000000110462.0, 2000000102535.0, 2000000118123.0, 2000000118345.0, 2000000118352.0, 2000000111575.0, 2000000111865.0, 2000000118345.0, 2000000116198.0, 2000000116174.0, 2000000118383.0, 2000000118956.0, 2000000118345.0, 2000000118208.0, 2000000118048.0, 2000000118024.0]",53.0,,,,
1634430896623384340,2,,,,,,
1634431265748986004,1,,,,,,
1634433678529147062,3,[2000000023021.0],1.0,,,,
163443513129977578,1,[2000000061610.0],1.0,,,,
1634362826838702505,5,,,,,,
1634435734400064595,1,,,,,,
1634435862438811561,2,,,,,,
1634436146509111129,23,"[2000000101958.0, 2000000076331.0, 2000000045962.0, 2000000060170.0, 2000000000220.0]",5.0,,,,
1634436876715426984,1,[2000000067483.0],1.0,,,,
1634437378685175145,5,[2000000107752.0],1.0,,,,
1634437434793465730,3,[2000000029764.0],1.0,,,,
1634438078230654172,5,[2000000083292.0],1.0,,,,
1634438710157890212,1,,,,,,
1634438940226366843,2,,,,,,
1594406556207357945,1,,,,,,
163443942865756989,2,,,,,,
1634439696403147160,3,,,,,,
16344435393764666,1,,,,,,
1634443329710578322,1,,,,,,
1634443930581790103,9,,,,,,
1634444078760549701,1,,,,,,
1634444725475159342,14,[2000000001616.0],1.0,,,,
1623627430556907783,7,"[2000000107639.0, 2000000068602.0]",2.0,,,,
1634445547626800952,1,,,,,,
1634445904663925071,2,,,,,,
163444617477291072,8,"[2000000002248.0, 2000000087351.0, 2000000065267.0]",3.0,,,,
1634446671361878880,1,,,,,,
1634447127707599095,3,[2000000070889.0],1.0,,,,
1634429537357219785,3,"[2000000052649.0, 2000000052649.0]",2.0,,,,
163443197585706709,6,[2000000083087.0],1.0,,,,
1634433031915045108,2,,,,,,
1634434160339549451,3,,,,,,
1634437153628257711,2,[2000000054919.0],1.0,,,,
1634437534618249542,1,,,,,,
1634437811579941398,1,[2000000070841.0],1.0,,,,
1634439767729086832,1,,,,,,
1634441016500969446,1,,,,,,
1633857633733062471,27,"[2000000087337.0, 2000000087337.0, 2000000087337.0, 2000000087337.0, 2000000087337.0, 2000000087337.0, 2000000087337.0, 2000000087337.0, 2000000087337.0, 2000000087337.0, 2000000087337.0, 2000000087337.0, 2000000087337.0, 2000000087337.0, 2000000087337.0, 2000000087337.0, 2000000087337.0, 2000000087337.0, 2000000087337.0, 2000000087337.0, 2000000087337.0, 2000000087337.0]",22.0,,,,
1634444725288133300,1,,,,,,
1634444917714330276,2,,,,,,
1634445487594152222,8,"[2000000099828.0, 2000000104386.0, 2000000098364.0, 2000000081540.0]",4.0,,,,
1634445901636406425,1,[2000000079134.0],1.0,,,,
15958550101040682370,33,,,,,,
1620558441104827744,3,"[2000000068053.0, 2000000102474.0]",2.0,,,,
1634418286113141996,2,,,,,,
1634418951683928629,1,,,,,,
1634419001419193667,1,,,,,,
1634419482267780933,2,,,,,,
163429890399189149,4,,,,,,
1634420222697829512,1,,,,,,
163442035216363954,2,,,,,,
1634420915776796596,1,[2000000068053.0],1.0,,,,
1633690419816787622,285,"[2000000107929.0, 2000000107806.0, 2000000108308.0, 2000000107806.0, 2000000108636.0, 2000000108612.0, 2000000108407.0, 2000000063003.0, 2000000101750.0, 2000000098678.0, 2000000101743.0, 2000000074023.0, 2000000101743.0, 2000000107905.0, 2000000099903.0, 2000000099903.0, 2000000108551.0, 2000000096780.0, 2000000109435.0, 2000000108551.0, 2000000106625.0, 2000000106533.0, 2000000107592.0, 2000000107592.0, 2000000110738.0, 2000000101613.0, 2000000110783.0, 2000000067407.0, 2000000110837.0, 2000000110585.0, 2000000086712.0, 2000000111650.0, 2000000112350.0, 2000000113432.0, 2000000114019.0, 2000000113432.0, 2000000113432.0, 2000000113425.0, 2000000112558.0, 2000000086354.0, 2000000086378.0, 2000000078328.0, 2000000010977.0, 2000000113425.0, 2000000112329.0, 2000000112312.0, 2000000112312.0, 2000000114194.0, 2000000113821.0, 2000000114606.0, 2000000114507.0, 2000000114538.0, 2000000069708.0, 2000000063010.0, 2000000111735.0, 2000000115474.0, 2000000115535.0, 2000000115467.0, 2000000115016.0, 2000000115016.0, 2000000116136.0, 2000000116730.0, 2000000116266.0, 2000000116730.0, 2000000118215.0]",65.0,,,,
1634421464377511050,1,,,,,,
1634422413125970224,1,,,,,,
1634421270870777074,1,,,,,,
163442498557645985,1,,,,,,
1634422589283468440,1,,,,,,
1634423554445661909,1,,,,,,
163394294421900679,12,,,,,,
1634424806761636057,1,[2000000095165.0],1.0,,,,
163442555835960115,1,,,,,,
1634426423426038061,1,,,,,,
1634424685199043632,1,,,,,,
1634432135521441621,1,,,,,,
1634435734338179067,1,,,,,,
1634436974145584118,2,,,,,,
1634437116752502793,1,,,,,,
1634438820248571674,1,,,,,,
1634430102217704426,1,,,,,,
1634430831670181644,1,,,,,,
163443573457459254,1,,,,,,
16344357341020871590,1,,,,,,
16344431521070351819,2,,,,,,
1634447304133908386,2,,,,,,
16344410511026802133,1,[2000000068053.0],1.0,,,,
1634444332695667669,1,,,,,,
1634447944937448076,1,,,,,,
1634447549174130527,1,,,,,,
1634448194514964424,25,"[2000000106632.0, 2000000107240.0, 2000000107646.0, 2000000107646.0, 2000000106892.0, 2000000106328.0, 2000000107219.0, 2000000049281.0]",8.0,,,,
1634448656755035995,10,,,,,,
1634449070911996111,1,,,,,,
16344497961043858745,1,,,,,,
163444996150635870,7,"[2000000076331.0, 2000000076324.0, 2000000026480.0]",3.0,,,,
1634450084719873284,8,[2000000062389.0],1.0,,,,
1634450691185448747,1,[2000000075563.0],1.0,,,,
1634451070145449189,2,,,,,,
1634451262898415667,2,,,,,,
163445168740592556,5,[2000000045528.0],1.0,,,,
1634452214427680424,1,,,,,,
1634452644463320804,1,,,,,,
1619670432536875185,81,"[2000000000138.0, 2000000097312.0, 2000000076867.0, 2000000108384.0, 2000000105840.0, 2000000103860.0, 2000000104508.0, 2000000103839.0, 2000000000138.0, 2000000097312.0, 2000000035765.0, 2000000035765.0, 2000000097312.0, 2000000097312.0, 2000000076430.0, 2000000067964.0, 2000000076430.0, 2000000105109.0, 2000000110776.0, 2000000068794.0, 2000000098388.0, 2000000032375.0, 2000000032375.0, 2000000032375.0, 2000000032375.0, 2000000038513.0, 2000000071022.0, 2000000087979.0]",28.0,,,,
1634453519144898225,1,,,,,,
1634453512760997899,3,[2000000107752.0],1.0,,,,
1592694669483395654,37,"[2000000107622.0, 2000000065823.0, 2000000107752.0, 2000000091372.0, 2000000062112.0, 2000000107622.0, 2000000107622.0, 2000000107622.0, 2000000107622.0, 2000000107622.0, 2000000106328.0]",11.0,,,,
1634453954723506807,1,[2000000068053.0],1.0,,,,
16344540631069505865,1,,,,,,
1634454711455145313,1,,,,,,
1632039287580811031,7,[2000000095844.0],1.0,,,,
1634293661953268358,5,[2000000053301.0],1.0,,,,
1617818713662698677,423,"[2000000106663.0, 2000000108513.0, 2000000059204.0, 2000000008684.0, 2000000042657.0, 2000000080222.0, 2000000011158.0, 2000000109770.0, 2000000078106.0, 2000000082493.0, 2000000106663.0, 2000000106328.0, 2000000106588.0, 2000000059303.0, 2000000108759.0, 2000000059204.0, 2000000103556.0, 2000000061504.0, 2000000108254.0, 2000000059334.0, 2000000078106.0, 2000000091747.0, 2000000087573.0, 2000000081397.0, 2000000091747.0, 2000000081397.0, 2000000081526.0, 2000000081526.0, 2000000072081.0, 2000000031842.0, 2000000091747.0, 2000000073651.0, 2000000091747.0, 2000000081526.0, 2000000088358.0, 2000000106694.0, 2000000007694.0, 2000000059204.0, 2000000059204.0, 2000000007618.0, 2000000007755.0, 2000000090429.0, 2000000011134.0, 2000000007397.0, 2000000085289.0, 2000000096131.0, 2000000007755.0, 2000000014319.0, 2000000031392.0, 2000000012735.0, 2000000011158.0, 2000000014470.0, 2000000084053.0, 2000000007618.0, 2000000011134.0, 2000000111360.0, 2000000011158.0, 2000000112503.0, 2000000014470.0, 2000000007618.0, 2000000011134.0, 2000000011158.0, 2000000064154.0, 2000000007755.0, 2000000060088.0, 2000000084053.0, 2000000080734.0, 2000000087245.0, 2000000087245.0, 2000000011158.0, 2000000010977.0, 2000000093321.0, 2000000002378.0, 2000000103556.0, 2000000109961.0, 2000000101286.0, 2000000072364.0, 2000000013084.0, 2000000112152.0, 2000000013084.0, 2000000007397.0, 2000000014470.0, 2000000090429.0, 2000000085036.0, 2000000068794.0, 2000000105420.0, 2000000103556.0, 2000000113784.0, 2000000113395.0, 2000000011158.0, 2000000011158.0, 2000000059204.0, 2000000059204.0, 2000000059204.0, 2000000108520.0, 2000000108513.0, 2000000108513.0]",97.0,,,,
1634456007776164127,3,[2000000107479.0],1.0,,,,
16344561091037626905,11,"[2000000074405.0, 2000000092805.0]",2.0,,,,
1634456432241049468,6,"[2000000099828.0, 2000000086286.0, 2000000107585.0]",3.0,,,,
1634229177481739337,2,"[2000000053301.0, 2000000053301.0]",2.0,,,,
1634456566654337727,4,"[2000000104195.0, 2000000104188.0]",2.0,,,,
1634457440384678127,1,,,,,,
16344572811021087635,4,[2000000107622.0],1.0,,,,
1634457671926099433,4,"[2000000104935.0, 2000000104935.0]",2.0,,,,
1634457739263884306,1,,,,,,
1634457759270945656,2,,,,,,
16344496211027593089,3,,,,,,
1622890825609167907,2,,,,,,
163445057151831130,2,,,,,,
1634451221485142987,1,,,,,,
1634452624343238568,1,,,,,,
1634452908722757005,1,[2000000073408.0],1.0,,,,
1634454236961874196,5,[2000000098364.0],1.0,,,,
1634454623511062082,1,,,,,,
1634454914383014629,1,,,,,,
163445534718969134,3,,,,,,
1634456249477090017,1,,,,,,
1634456431321722655,1,,,,,,
16344565731032408897,35,"[2000000029764.0, 2000000001692.0, 2000000062211.0, 2000000073675.0]",4.0,,,,
1634456708356804129,3,,,,,,
1634456841464342920,19,"[2000000091501.0, 2000000088389.0, 2000000088389.0, 2000000060156.0, 2000000110530.0]",5.0,,,,
1634457117742845673,2,,,,,,
1634457260943039699,2,,,,,,
1634457875134210562,1,,,,,,
1634458090262061971,1,,,,,,
1634458102394691802,38,"[2000000107691.0, 2000000107684.0, 2000000068060.0, 2000000082981.0, 2000000068060.0, 2000000106205.0, 2000000066028.0]",7.0,,,,
1634458257181257826,2,,,,,,
1626079497975172430,155,"[2000000054056.0, 2000000107677.0, 2000000107707.0, 2000000101972.0, 2000000107707.0, 2000000102818.0, 2000000102221.0, 2000000102214.0, 2000000101712.0, 2000000109213.0, 2000000062112.0, 2000000078076.0, 2000000093451.0]",13.0,,,,
1634240637162066358,6,,,,,,
1634458755319062285,1,,,,,,
1634459524862890730,1,,,,,,
1634459771478147340,4,[2000000106496.0],1.0,,,,
1634459758538172400,2,,,,,,
1633072072628597307,181,"[2000000088815.0, 2000000104331.0, 2000000104331.0, 2000000104331.0, 2000000088815.0, 2000000105109.0, 2000000062204.0, 2000000058351.0, 2000000095288.0, 2000000069241.0, 2000000084312.0, 2000000091020.0, 2000000069241.0, 2000000062204.0, 2000000091068.0, 2000000104331.0, 2000000107998.0, 2000000105222.0, 2000000105710.0, 2000000104973.0, 2000000103280.0, 2000000103303.0, 2000000106519.0, 2000000107929.0, 2000000107295.0, 2000000106496.0, 2000000104331.0, 2000000110325.0, 2000000098234.0, 2000000095325.0, 2000000099026.0, 2000000064512.0, 2000000056814.0, 2000000101033.0, 2000000008240.0, 2000000103280.0, 2000000101613.0, 2000000088815.0, 2000000108278.0, 2000000103839.0, 2000000107493.0, 2000000102436.0, 2000000104331.0, 2000000103136.0, 2000000105710.0, 2000000045702.0, 2000000097008.0, 2000000072661.0, 2000000105369.0, 2000000044637.0, 2000000099057.0, 2000000106557.0, 2000000106687.0, 2000000106540.0, 2000000105710.0, 2000000110721.0, 2000000110714.0, 2000000110042.0, 2000000108186.0, 2000000099057.0, 2000000110318.0, 2000000103280.0, 2000000032375.0, 2000000009155.0, 2000000070704.0, 2000000099781.0, 2000000086446.0, 2000000019932.0]",68.0,,,,
1634459817676166326,3,[2000000107332.0],1.0,,,,
1634460029980883705,2,,,,,,
1634460650925683963,1,,,,,,
1634461386851028496,2,,,,,,
163346905759182982,238,"[2000000102931.0, 2000000091488.0, 2000000043265.0, 2000000075303.0, 2000000105345.0, 2000000071077.0, 2000000087962.0, 2000000072364.0, 2000000069746.0, 2000000069746.0, 2000000091471.0, 2000000069746.0, 2000000102931.0, 2000000106748.0, 2000000105345.0, 2000000105345.0, 2000000069746.0, 2000000074252.0, 2000000069746.0, 2000000074252.0, 2000000043265.0, 2000000075303.0, 2000000059235.0, 2000000060354.0, 2000000069746.0, 2000000102931.0, 2000000069746.0, 2000000059396.0, 2000000105345.0, 2000000105345.0, 2000000106748.0, 2000000102290.0, 2000000102290.0, 2000000106748.0, 2000000034737.0, 2000000102948.0, 2000000104584.0, 2000000102290.0, 2000000009629.0, 2000000105345.0, 2000000069746.0, 2000000061795.0, 2000000072364.0, 2000000102931.0, 2000000043265.0, 2000000059396.0, 2000000075303.0, 2000000060354.0, 2000000102931.0, 2000000003825.0, 2000000105581.0, 2000000107349.0, 2000000104584.0, 2000000106748.0, 2000000105345.0, 2000000102931.0, 2000000058344.0, 2000000058399.0, 2000000082837.0, 2000000105321.0, 2000000107332.0, 2000000074313.0, 2000000073705.0, 2000000086378.0, 2000000107349.0, 2000000026428.0, 2000000043265.0, 2000000026480.0, 2000000106700.0, 2000000088266.0, 2000000069746.0, 2000000075303.0, 2000000068091.0, 2000000076577.0, 2000000064154.0, 2000000045702.0, 2000000106595.0, 2000000084893.0, 2000000059396.0, 2000000084442.0, 2000000074252.0, 2000000073705.0, 2000000104096.0, 2000000091488.0, 2000000074252.0, 2000000074252.0, 2000000074252.0, 2000000073705.0, 2000000081557.0, 2000000057521.0, 2000000107325.0, 2000000107349.0, 2000000073705.0, 2000000069302.0, 2000000074252.0, 2000000097312.0, 2000000088389.0, 2000000088389.0, 2000000059426.0, 2000000088389.0, 2000000088389.0, 2000000037929.0, 2000000104102.0, 2000000103761.0, 2000000087962.0, 2000000087962.0, 2000000087979.0, 2000000095431.0, 2000000087962.0, 2000000102931.0, 2000000072364.0, 2000000034737.0, 2000000072364.0, 2000000071077.0, 2000000087962.0, 2000000073699.0, 2000000081298.0, 2000000008868.0, 2000000086132.0, 2000000043265.0, 2000000032382.0, 2000000054926.0, 2000000059235.0, 2000000060354.0, 2000000086125.0, 2000000075303.0, 2000000059396.0, 2000000060446.0, 2000000062297.0, 2000000075303.0, 2000000091488.0, 2000000091471.0, 2000000104942.0, 2000000104935.0, 2000000084893.0, 2000000074252.0, 2000000091488.0, 2000000091471.0, 2000000091471.0, 2000000091471.0, 2000000091471.0, 2000000072364.0, 2000000102931.0, 2000000102931.0, 2000000091471.0, 2000000102931.0, 2000000091471.0, 2000000091471.0, 2000000091471.0, 2000000091471.0, 2000000064727.0, 2000000106748.0, 2000000069746.0, 2000000018416.0, 2000000072364.0, 2000000087962.0]",156.0,,,,
1634461542291520622,4,,,,,,
1634462146110615104,15,"[2000000107547.0, 2000000107516.0]",2.0,,,,
1634462295305807164,1,,,,,,
1634462813400021190,2,[2000000064062.0],1.0,,,,
1634462909652925924,6,,,,,,
1619558827544169333,10,[2000000051499.0],1.0,,,,
163446312681697798,1,,,,,,
163446323369728052,3,[2000000092805.0],1.0,,,,
1634463646228417036,2,,,,,,
1633366005470996047,122,"[2000000065823.0, 2000000094410.0, 2000000062402.0, 2000000098364.0, 2000000028507.0, 2000000039480.0, 2000000087412.0, 2000000101972.0, 2000000069739.0, 2000000038773.0, 2000000107615.0, 2000000045733.0, 2000000091365.0, 2000000096919.0, 2000000072722.0, 2000000067919.0, 2000000067827.0, 2000000081342.0, 2000000081342.0, 2000000081342.0, 2000000098739.0, 2000000104348.0, 2000000087474.0, 2000000087498.0, 2000000101972.0, 2000000087498.0, 2000000087498.0, 2000000087498.0, 2000000087498.0, 2000000087498.0, 2000000087474.0, 2000000081564.0, 2000000105826.0, 2000000087474.0, 2000000087498.0]",35.0,,,,
1607027965931388657,186,"[2000000072920.0, 2000000080734.0, 2000000038513.0, 2000000109718.0, 2000000029337.0, 2000000038209.0, 2000000109848.0, 2000000105222.0, 2000000044279.0, 2000000047447.0, 2000000038209.0, 2000000109466.0, 2000000091716.0, 2000000038599.0, 2000000105697.0, 2000000071183.0, 2000000034232.0, 2000000047393.0, 2000000071183.0, 2000000105222.0, 2000000109848.0, 2000000091716.0, 2000000105222.0, 2000000109466.0, 2000000109466.0, 2000000038209.0, 2000000038209.0, 2000000091716.0, 2000000071183.0, 2000000109848.0, 2000000072920.0, 2000000105222.0, 2000000109466.0, 2000000105222.0, 2000000071183.0, 2000000091716.0, 2000000105222.0, 2000000105222.0, 2000000109466.0, 2000000091716.0, 2000000109848.0, 2000000038209.0, 2000000071183.0, 2000000109466.0, 2000000109848.0, 2000000038209.0, 2000000071183.0, 2000000105222.0, 2000000109848.0, 2000000038513.0, 2000000038209.0, 2000000038209.0, 2000000091716.0, 2000000109466.0, 2000000038209.0, 2000000108773.0, 2000000091716.0, 2000000109466.0, 2000000109848.0, 2000000037554.0, 2000000071183.0, 2000000109848.0, 2000000091716.0, 2000000071183.0, 2000000091716.0, 2000000038209.0, 2000000071183.0, 2000000109466.0, 2000000109466.0, 2000000109466.0, 2000000109848.0, 2000000109848.0, 2000000038209.0, 2000000091716.0, 2000000091716.0, 2000000109466.0, 2000000091716.0, 2000000038209.0, 2000000038209.0, 2000000109848.0, 2000000038209.0, 2000000091716.0, 2000000091716.0, 2000000109466.0, 2000000109848.0, 2000000109466.0, 2000000038209.0, 2000000038209.0, 2000000038209.0, 2000000109466.0, 2000000038209.0, 2000000038209.0, 2000000091716.0, 2000000109848.0, 2000000038209.0, 2000000038209.0, 2000000071183.0, 2000000071183.0, 2000000091716.0, 2000000109466.0, 2000000109848.0, 2000000038209.0, 2000000038209.0, 2000000071183.0, 2000000071183.0, 2000000091716.0, 2000000091716.0, 2000000109466.0, 2000000109466.0, 2000000109848.0, 2000000109848.0, 2000000038209.0, 2000000091716.0, 2000000091716.0, 2000000109466.0, 2000000109466.0, 2000000109848.0, 2000000038209.0, 2000000109848.0, 2000000038209.0, 2000000071183.0, 2000000115450.0, 2000000111278.0, 2000000111285.0, 2000000110400.0, 2000000102559.0, 2000000088266.0, 2000000054155.0, 2000000009155.0]",129.0,,,,
1634458930781242719,1,,,,,,
1634459779197486113,3,,,,,,
1634460749750935376,1,,,,,,
163446104042714594,12,"[2000000074238.0, 2000000028392.0, 2000000082981.0]",3.0,,,,
1634462221782665382,1,,,,,,
1634462574869952979,1,,,,,,
1634463802637576016,1,,,,,,
1634464100938232432,14,"[2000000107455.0, 2000000106786.0, 2000000107158.0, 2000000106632.0, 2000000106533.0, 2000000107455.0, 2000000106533.0]",7.0,,,,
1634448128256373270,2,,,,,,
1634450751245551855,1,[2000000045733.0],1.0,,,,
1634451116265625845,1,,,,,,
1634451713886648703,2,,,,,,
1634452080694289116,1,,,,,,
163445313983059820,1,,,,,,
1634453221237114787,3,,,,,,
1610005842898096756,481,"[2000000078960.0, 2000000080987.0, 2000000080956.0, 2000000080895.0, 2000000078960.0, 2000000078977.0, 2000000078984.0, 2000000078991.0, 2000000078991.0, 2000000079004.0, 2000000079011.0, 2000000079035.0, 2000000079042.0, 2000000079059.0, 2000000079066.0, 2000000079073.0, 2000000079080.0, 2000000079097.0, 2000000079110.0, 2000000078946.0, 2000000078953.0]",21.0,,,,
