,views,products,products_quan,carts,carts_quan,wish,wish_quan
163334714145122364,25,"[2000000039671.0, 2000000073422.0, 2000000039671.0, 2000000039671.0, 2000000039671.0, 2000000039671.0, 2000000039671.0, 2000000039671.0, 2000000039671.0, 2000000039671.0, 2000000082035.0]",11.0,,,,
1634040128963090936,20,"[2000000101538.0, 2000000107622.0, 2000000107622.0]",3.0,,,,
1634380755517460786,19,"[2000000107585.0, 2000000099828.0, 2000000099415.0, 2000000107585.0, 2000000104188.0]",5.0,,,,
1634381096879993410,7,"[2000000002699.0, 2000000099835.0, 2000000098364.0]",3.0,,,,
163438112945677089,1,[2000000068053.0],1.0,,,,
1604344873290895250,484,"[2000000100029.0, 2000000096216.0, 2000000081526.0, 2000000062662.0, 2000000096216.0, 2000000096216.0, 2000000108001.0, 2000000107950.0, 2000000108162.0, 2000000108209.0, 2000000106663.0, 2000000103648.0, 2000000026480.0, 2000000100579.0, 2000000108209.0, 2000000103891.0, 2000000103891.0, 2000000100319.0, 2000000085340.0, 2000000108179.0, 2000000100425.0, 2000000100579.0, 2000000108346.0, 2000000087580.0, 2000000076621.0, 2000000060552.0, 2000000108339.0, 2000000108186.0, 2000000108261.0, 2000000107479.0, 2000000103808.0, 2000000103648.0, 2000000100425.0, 2000000102306.0, 2000000049717.0, 2000000049717.0, 2000000049717.0, 2000000049717.0, 2000000049717.0, 2000000049717.0, 2000000049717.0, 2000000108186.0, 2000000108209.0, 2000000108209.0, 2000000109251.0, 2000000109879.0, 2000000081236.0, 2000000079455.0, 2000000109862.0, 2000000066813.0, 2000000099965.0, 2000000103693.0, 2000000103709.0, 2000000105482.0, 2000000106625.0, 2000000106625.0, 2000000106618.0, 2000000106625.0, 2000000106618.0, 2000000106625.0, 2000000106625.0, 2000000106625.0, 2000000107752.0, 2000000106663.0, 2000000106717.0, 2000000107332.0, 2000000107332.0, 2000000106694.0, 2000000106908.0, 2000000107349.0, 2000000110547.0, 2000000107349.0, 2000000098791.0, 2000000098791.0, 2000000082592.0, 2000000103617.0, 2000000112459.0, 2000000112442.0, 2000000112442.0, 2000000101552.0, 2000000101712.0, 2000000082110.0, 2000000111988.0, 2000000111575.0, 2000000105901.0, 2000000112428.0, 2000000111834.0, 2000000113074.0, 2000000113074.0, 2000000113074.0, 2000000090429.0, 2000000076577.0, 2000000076577.0, 2000000097374.0, 2000000099521.0, 2000000099521.0, 2000000085289.0, 2000000114415.0, 2000000111674.0, 2000000115450.0, 2000000115337.0, 2000000114774.0, 2000000114804.0, 2000000114590.0, 2000000114101.0, 2000000115115.0, 2000000115672.0, 2000000115672.0, 2000000112343.0, 2000000115672.0, 2000000086866.0, 2000000026879.0, 2000000099521.0, 2000000107479.0, 2000000062594.0, 2000000085340.0, 2000000102139.0, 2000000115689.0, 2000000115672.0, 2000000115672.0, 2000000115672.0, 2000000108209.0, 2000000108209.0, 2000000116594.0, 2000000112343.0, 2000000107325.0, 2000000097893.0, 2000000118888.0, 2000000118338.0, 2000000118352.0, 2000000118147.0, 2000000118383.0, 2000000118529.0, 2000000115559.0]",134.0,,,,
1634381562386515223,1,,,,,,
1634381798985828624,1,,,,,,
1634381867103195826,187,"[2000000048000.0, 2000000090337.0, 2000000096827.0, 2000000104812.0, 2000000096827.0, 2000000096827.0, 2000000089669.0, 2000000104713.0, 2000000090351.0, 2000000099033.0, 2000000089645.0, 2000000096827.0, 2000000102115.0, 2000000090382.0, 2000000104416.0, 2000000053479.0, 2000000107585.0, 2000000105055.0, 2000000089669.0, 2000000022215.0, 2000000103174.0, 2000000105406.0, 2000000105093.0, 2000000057026.0, 2000000105093.0, 2000000089669.0, 2000000076867.0, 2000000060170.0, 2000000057712.0, 2000000104812.0, 2000000053479.0, 2000000105154.0, 2000000107073.0, 2000000090351.0, 2000000096827.0, 2000000022215.0, 2000000058399.0, 2000000105154.0, 2000000089645.0, 2000000101163.0, 2000000076867.0, 2000000105154.0, 2000000104805.0, 2000000089294.0, 2000000090382.0, 2000000105154.0, 2000000073651.0, 2000000105154.0, 2000000090382.0, 2000000089669.0, 2000000094830.0, 2000000089867.0, 2000000105154.0, 2000000105154.0]",54.0,,,,
1634381913338814494,18,"[2000000107585.0, 2000000107394.0, 2000000106724.0, 2000000107653.0, 2000000107394.0, 2000000107653.0, 2000000107653.0, 2000000107394.0]",8.0,,,,
